seqn,household_income,gender,age,education_level,household_size
74344,Refused,Male,18,Some College or AA degree,5
74345,"75,000 to 99,999",Male,56,Some College or AA degree,4
74346,"55,000 to 64,999",Male,70,College Graduate or above,2
74348,"65,000 to 74,999",Female,45,College Graduate or above,4
74349,"100,000 and Over",Female,57,Some College or AA degree,2
74350,"Under 20,000",Male,52,High School Grad/GED or equivalent,4
74352,"100,000 and Over",Male,65,High School Grad/GED or equivalent,2
74353,"15,000 to 19,999",Female,20,9th-11th Grade,5
74355,Refused,Male,61,College Graduate or above,2
74356,"65,000 to 74,999",Female,18,College Graduate or above,5
74357,"10,000 to 14,999",Male,77,High School Grad/GED or equivalent,1
74359,"65,000 to 74,999",Male,63,College Graduate or above,2
74366,"55,000 to 64,999",Female,61,Some College or AA degree,4
74367,Don't know,Male,74,<9th Grade,1
74368,"55,000 to 64,999",Female,53,High School Grad/GED or equivalent,4
74374,"45,000 to 54,999",Female,70,College Graduate or above,2
74375,,Female,63,High School Grad/GED or equivalent,4
74376,"10,000 to 14,999",Male,21,High School Grad/GED or equivalent,2
74378,"25,000 to 34,999",Male,24,<9th Grade,2
74379,"45,000 to 54,999",Male,43,College Graduate or above,3
74380,"45,000 to 54,999",Male,28,High School Grad/GED or equivalent,5
74381,"65,000 to 74,999",Female,25,9th-11th Grade,3
74383,"100,000 and Over",Male,64,9th-11th Grade,4
74384,"25,000 to 34,999",Female,25,9th-11th Grade,7
74385,"55,000 to 64,999",Male,73,College Graduate or above,2
74386,"35,000 to 44,999",Male,24,College Graduate or above,2
74388,"65,000 to 74,999",Male,57,Some College or AA degree,3
74393,"25,000 to 34,999",Male,26,College Graduate or above,2
74394,"45,000 to 54,999",Female,51,High School Grad/GED or equivalent,3
74395,"20,000 to 24,999",Male,77,Some College or AA degree,1
74396,"100,000 and Over",Female,29,College Graduate or above,2
74397,"20,000 to 24,999",Female,24,9th-11th Grade,5
74398,"45,000 to 54,999",Male,27,High School Grad/GED or equivalent,5
74399,"25,000 to 34,999",Female,31,Some College or AA degree,5
74400,"100,000 and Over",Male,23,College Graduate or above,3
74401,"20,000 to 24,999",Female,19,High School Grad/GED or equivalent,7
74402,"55,000 to 64,999",Female,49,9th-11th Grade,5
74403,"25,000 to 34,999",Female,31,Some College or AA degree,4
74408,"10,000 to 14,999",Male,29,High School Grad/GED or equivalent,7
74411,"65,000 to 74,999",Male,28,Some College or AA degree,2
74412,"45,000 to 54,999",Male,37,Some College or AA degree,5
74413,"25,000 to 34,999",Female,80,High School Grad/GED or equivalent,2
74417,"25,000 to 34,999",Female,56,Some College or AA degree,2
74418,"35,000 to 44,999",Female,23,High School Grad/GED or equivalent,3
74419,"20,000 and Over",Female,76,High School Grad/GED or equivalent,1
74421,"10,000 to 14,999",Male,47,Some College or AA degree,1
74422," 5,000 to  9,999",Male,29,Some College or AA degree,1
74424,"75,000 to 99,999",Female,35,College Graduate or above,3
74425,"45,000 to 54,999",Female,62,High School Grad/GED or equivalent,2
74432,"20,000 and Over",Male,60,9th-11th Grade,5
74433,"100,000 and Over",Male,22,College Graduate or above,5
74434,"15,000 to 19,999",Female,36,9th-11th Grade,5
74435,"45,000 to 54,999",Male,19,Some College or AA degree,4
74436,"75,000 to 99,999",Male,55,High School Grad/GED or equivalent,4
74437,"35,000 to 44,999",Male,35,9th-11th Grade,1
74440,"75,000 to 99,999",Female,31,College Graduate or above,4
74441,"15,000 to 19,999",Female,38,Some College or AA degree,4
74442,"65,000 to 74,999",Male,63,Some College or AA degree,3
74445,"75,000 to 99,999",Male,47,Some College or AA degree,4
74446,"10,000 to 14,999",Female,64,College Graduate or above,1
74449,"100,000 and Over",Male,37,College Graduate or above,3
74451,"15,000 to 19,999",Female,77,High School Grad/GED or equivalent,3
74454,"100,000 and Over",Male,45,College Graduate or above,5
74455,"25,000 to 34,999",Female,38,Some College or AA degree,5
74459,,Female,61,High School Grad/GED or equivalent,1
74460,"100,000 and Over",Female,20,Some College or AA degree,4
74462,"35,000 to 44,999",Female,58,College Graduate or above,1
74463,"75,000 to 99,999",Male,45,Some College or AA degree,3
74464,,Male,45,High School Grad/GED or equivalent,6
74465,"20,000 to 24,999",Male,80,<9th Grade,2
74466,"35,000 to 44,999",Male,34,9th-11th Grade,7
74473,"15,000 to 19,999",Male,80,Some College or AA degree,2
74476,"45,000 to 54,999",Female,68,High School Grad/GED or equivalent,4
74479,"65,000 to 74,999",Female,50,9th-11th Grade,3
74480,"25,000 to 34,999",Female,18,9th-11th Grade,7
74481,Refused,Female,35,High School Grad/GED or equivalent,4
74486,"45,000 to 54,999",Female,69,9th-11th Grade,7
74487,"45,000 to 54,999",Male,78,9th-11th Grade,2
74489,"100,000 and Over",Female,36,High School Grad/GED or equivalent,3
74490,"75,000 to 99,999",Female,80,Some College or AA degree,2
74493,"45,000 to 54,999",Male,40,9th-11th Grade,5
74498,"45,000 to 54,999",Male,29,High School Grad/GED or equivalent,6
74499,"10,000 to 14,999",Male,59,High School Grad/GED or equivalent,1
74502," 5,000 to  9,999",Male,27,<9th Grade,1
74503,"25,000 to 34,999",Female,47,9th-11th Grade,5
74504,"20,000 to 24,999",Female,43,College Graduate or above,4
74505,"100,000 and Over",Female,21,Some College or AA degree,6
74508,"100,000 and Over",Male,80,College Graduate or above,2
74509,"25,000 to 34,999",Female,48,<9th Grade,4
74510,"100,000 and Over",Male,64,College Graduate or above,2
74511,"100,000 and Over",Male,46,College Graduate or above,5
74512,"35,000 to 44,999",Male,80,9th-11th Grade,2
74519," 5,000 to  9,999",Female,60,Some College or AA degree,1
74521,,Female,21,Some College or AA degree,4
74523,"100,000 and Over",Female,61,Some College or AA degree,2
74524,"15,000 to 19,999",Male,47,9th-11th Grade,5
74526,"55,000 to 64,999",Female,58,High School Grad/GED or equivalent,2
74529,"25,000 to 34,999",Male,51,<9th Grade,4
74530,"20,000 to 24,999",Female,45,High School Grad/GED or equivalent,6
74531,"15,000 to 19,999",Male,72,9th-11th Grade,1
74532,"15,000 to 19,999",Male,25,9th-11th Grade,5
74534,"25,000 to 34,999",Male,65,High School Grad/GED or equivalent,4
74536,"25,000 to 34,999",Male,65,Some College or AA degree,2
74537,"10,000 to 14,999",Female,23,High School Grad/GED or equivalent,2
74538,"100,000 and Over",Female,75,9th-11th Grade,2
74539,"65,000 to 74,999",Male,55,High School Grad/GED or equivalent,4
74542,,Male,46,High School Grad/GED or equivalent,3
74543,"55,000 to 64,999",Male,40,Some College or AA degree,1
74546,"25,000 to 34,999",Female,27,<9th Grade,7
74547,"25,000 to 34,999",Male,43,Some College or AA degree,2
74548,"15,000 to 19,999",Female,63,Some College or AA degree,5
74549,"65,000 to 74,999",Female,55,Some College or AA degree,3
74551,"100,000 and Over",Female,32,,3
74552,"20,000 to 24,999",Female,44,9th-11th Grade,4
74554,"25,000 to 34,999",Female,35,Some College or AA degree,6
74556," 5,000 to  9,999",Female,23,Some College or AA degree,1
74557,"25,000 to 34,999",Female,28,College Graduate or above,5
74559,"65,000 to 74,999",Female,19,High School Grad/GED or equivalent,4
74560,"15,000 to 19,999",Male,36,High School Grad/GED or equivalent,5
74562,"65,000 to 74,999",Male,62,Some College or AA degree,3
74563,"25,000 to 34,999",Female,40,Some College or AA degree,4
74564,"25,000 to 34,999",Female,26,9th-11th Grade,3
74565,Refused,Male,66,<9th Grade,2
74566,"Under 20,000",Female,55,Some College or AA degree,2
74567,"75,000 to 99,999",Female,53,High School Grad/GED or equivalent,3
74569,"35,000 to 44,999",Male,19,Some College or AA degree,7
74570,"45,000 to 54,999",Female,63,Some College or AA degree,2
74571,"100,000 and Over",Male,53,Some College or AA degree,2
74574,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,2
74576,"25,000 to 34,999",Female,73,<9th Grade,4
74579,"10,000 to 14,999",Male,51,High School Grad/GED or equivalent,5
74581,"15,000 to 19,999",Male,75,9th-11th Grade,2
74582,"25,000 to 34,999",Female,30,Some College or AA degree,5
74583,"15,000 to 19,999",Female,60,Some College or AA degree,3
74586,"25,000 to 34,999",Male,24,9th-11th Grade,7
74587,"75,000 to 99,999",Male,66,College Graduate or above,6
74588,"35,000 to 44,999",Female,74,High School Grad/GED or equivalent,1
74589,"20,000 to 24,999",Male,67,9th-11th Grade,2
74590,,Male,30,9th-11th Grade,5
74591,"20,000 to 24,999",Male,73,Some College or AA degree,2
74594,"45,000 to 54,999",Female,53,College Graduate or above,2
74596,"20,000 to 24,999",Female,45,High School Grad/GED or equivalent,3
74598,"75,000 to 99,999",Male,58,9th-11th Grade,2
74600,"100,000 and Over",Female,66,High School Grad/GED or equivalent,2
74601,"20,000 to 24,999",Female,20,Some College or AA degree,4
74602,"65,000 to 74,999",Female,18,College Graduate or above,4
74605,"100,000 and Over",Female,62,College Graduate or above,2
74607,Refused,Male,68,College Graduate or above,2
74609,"75,000 to 99,999",Female,46,Some College or AA degree,2
74611,"55,000 to 64,999",Male,64,Some College or AA degree,2
74612,"75,000 to 99,999",Female,47,Some College or AA degree,4
74613,"15,000 to 19,999",Female,35,Some College or AA degree,3
74616,"35,000 to 44,999",Male,19,<9th Grade,7
74619,"45,000 to 54,999",Male,80,High School Grad/GED or equivalent,2
74623,"25,000 to 34,999",Female,46,High School Grad/GED or equivalent,5
74624,"10,000 to 14,999",Female,37,High School Grad/GED or equivalent,7
74625,,Male,21,,3
74627,"75,000 to 99,999",Female,29,College Graduate or above,2
74628,"15,000 to 19,999",Female,63,College Graduate or above,3
74630,,Male,18,High School Grad/GED or equivalent,2
74631,"20,000 to 24,999",Male,30,9th-11th Grade,3
74632,"100,000 and Over",Male,46,College Graduate or above,6
74633,"55,000 to 64,999",Female,56,Some College or AA degree,2
74636,"100,000 and Over",Female,60,College Graduate or above,3
74638,"75,000 to 99,999",Male,34,9th-11th Grade,2
74639,"10,000 to 14,999",Male,51,Some College or AA degree,1
74641,"100,000 and Over",Male,33,High School Grad/GED or equivalent,4
74642,"25,000 to 34,999",Female,45,High School Grad/GED or equivalent,4
74644,,Female,20,High School Grad/GED or equivalent,4
74645,"55,000 to 64,999",Female,68,Some College or AA degree,2
74646,"20,000 to 24,999",Male,49,9th-11th Grade,3
74648,"15,000 to 19,999",Female,18,High School Grad/GED or equivalent,5
74650,"25,000 to 34,999",Male,56,Some College or AA degree,3
74652,"25,000 to 34,999",Female,40,High School Grad/GED or equivalent,7
74653,"15,000 to 19,999",Female,29,Some College or AA degree,5
74654,"15,000 to 19,999",Female,62,Some College or AA degree,6
74655,"100,000 and Over",Female,36,College Graduate or above,2
74656,"100,000 and Over",Male,62,College Graduate or above,3
74660,"15,000 to 19,999",Female,38,Some College or AA degree,2
74661,"15,000 to 19,999",Male,65,High School Grad/GED or equivalent,1
74663,"25,000 to 34,999",Male,52,College Graduate or above,2
74668,"20,000 to 24,999",Female,80,9th-11th Grade,1
74669,"100,000 and Over",Female,80,9th-11th Grade,4
74670,"15,000 to 19,999",Female,80,College Graduate or above,1
74673,"20,000 to 24,999",Female,21,High School Grad/GED or equivalent,2
74674,"15,000 to 19,999",Female,67,<9th Grade,2
74675,"100,000 and Over",Female,18,High School Grad/GED or equivalent,4
74676,"100,000 and Over",Male,75,College Graduate or above,7
74678,"15,000 to 19,999",Female,28,High School Grad/GED or equivalent,3
74679,"20,000 and Over",Male,39,<9th Grade,6
74680,"25,000 to 34,999",Male,20,9th-11th Grade,4
74683,"100,000 and Over",Female,56,College Graduate or above,4
74685,"10,000 to 14,999",Male,75,<9th Grade,2
74686,"65,000 to 74,999",Female,32,9th-11th Grade,5
74689,"100,000 and Over",Female,25,,3
74692,"55,000 to 64,999",Male,24,High School Grad/GED or equivalent,3
74693,"45,000 to 54,999",Female,37,High School Grad/GED or equivalent,6
74694,Refused,Male,71,9th-11th Grade,6
74695,"10,000 to 14,999",Male,53,9th-11th Grade,3
74696,"35,000 to 44,999",Male,62,Some College or AA degree,3
74697,"20,000 to 24,999",Male,44,High School Grad/GED or equivalent,5
74698,"65,000 to 74,999",Male,34,Some College or AA degree,4
74702,"75,000 to 99,999",Male,68,College Graduate or above,2
74703,"25,000 to 34,999",Male,32,9th-11th Grade,6
74704,"15,000 to 19,999",Female,54,High School Grad/GED or equivalent,2
74705,"100,000 and Over",Male,74,College Graduate or above,2
74707,"35,000 to 44,999",Male,51,Some College or AA degree,7
74708,"100,000 and Over",Male,76,<9th Grade,3
74709,,Male,18,High School Grad/GED or equivalent,2
74711,"15,000 to 19,999",Female,47,High School Grad/GED or equivalent,4
74714,"10,000 to 14,999",Female,72,9th-11th Grade,1
74717,"Under 20,000",Female,47,College Graduate or above,5
74718,"100,000 and Over",Male,52,Some College or AA degree,3
74719,"65,000 to 74,999",Female,36,College Graduate or above,5
74721,"65,000 to 74,999",Female,53,College Graduate or above,3
74723,"55,000 to 64,999",Male,66,High School Grad/GED or equivalent,2
74725,"35,000 to 44,999",Female,37,Some College or AA degree,6
74728,"45,000 to 54,999",Male,46,9th-11th Grade,4
74731," 5,000 to  9,999",Female,27,Some College or AA degree,6
74732,"65,000 to 74,999",Female,64,College Graduate or above,2
74733,"100,000 and Over",Male,53,College Graduate or above,3
74734,"35,000 to 44,999",Female,57,High School Grad/GED or equivalent,4
74737,"45,000 to 54,999",Female,63,Some College or AA degree,2
74741,"100,000 and Over",Male,61,Some College or AA degree,3
74742,"35,000 to 44,999",Female,73,High School Grad/GED or equivalent,1
74743,"45,000 to 54,999",Male,41,Some College or AA degree,6
74744,"45,000 to 54,999",Male,22,Some College or AA degree,4
74745,"35,000 to 44,999",Female,33,9th-11th Grade,2
74746,"15,000 to 19,999",Male,55,High School Grad/GED or equivalent,4
74747,"25,000 to 34,999",Female,64,9th-11th Grade,4
74748,"Under 20,000",Male,36,High School Grad/GED or equivalent,2
74751,"25,000 to 34,999",Female,53,Some College or AA degree,3
74756,"20,000 to 24,999",Female,50,Some College or AA degree,3
74760,"10,000 to 14,999",Male,53,<9th Grade,5
74763,"35,000 to 44,999",Male,33,Some College or AA degree,5
74764,"20,000 to 24,999",Male,31,9th-11th Grade,7
74765,"45,000 to 54,999",Female,45,9th-11th Grade,2
74766,"10,000 to 14,999",Female,21,College Graduate or above,3
74769,"100,000 and Over",Male,50,College Graduate or above,2
74772,"25,000 to 34,999",Female,62,College Graduate or above,2
74773,"20,000 to 24,999",Male,64,9th-11th Grade,2
74774,"10,000 to 14,999",Female,19,9th-11th Grade,2
74776,"45,000 to 54,999",Male,18,College Graduate or above,5
74778,"55,000 to 64,999",Female,18,High School Grad/GED or equivalent,3
74779,Don't know,Female,78,,2
74781,"65,000 to 74,999",Female,51,Some College or AA degree,4
74782,"75,000 to 99,999",Female,59,High School Grad/GED or equivalent,2
74784,"65,000 to 74,999",Female,39,<9th Grade,7
74787,"20,000 to 24,999",Female,45,High School Grad/GED or equivalent,3
74790,"100,000 and Over",Female,80,College Graduate or above,1
74791,Refused,Female,69,High School Grad/GED or equivalent,1
74794,"100,000 and Over",Male,38,College Graduate or above,4
74797,"100,000 and Over",Female,59,High School Grad/GED or equivalent,3
74800,"25,000 to 34,999",Male,28,9th-11th Grade,7
74801,"25,000 to 34,999",Male,36,College Graduate or above,5
74802,"20,000 and Over",Male,18,College Graduate or above,4
74803," 5,000 to  9,999",Female,24,Some College or AA degree,2
74804,Refused,Female,51,Some College or AA degree,4
74807,"Under 20,000",Female,80,College Graduate or above,1
74812," 5,000 to  9,999",Female,50,Some College or AA degree,1
74814,"10,000 to 14,999",Female,25,High School Grad/GED or equivalent,3
74815,"20,000 to 24,999",Female,62,High School Grad/GED or equivalent,5
